"id";"wind_direction";"spot";"wind_speed";"fact_shape";"date";"description";"wide_probability";"barrel_probability";"closing_probability";"lineup_probability";"period";"swell_direction";"swell_size"
14;"Nordeste";"Canal da Barra";"Vento Fresco";"Onda gorda";"2020-03-09 14:00:00";"P(Fechando|<Canal da Barra, Sudoeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00049/0,00153 = 0,31884P(Cavado|<Canal da Barra, Sudoeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00047/0,00153 = 0,30868P(Alinhado|<Canal da Barra, Sudoeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00004/0,00153 = 0,02880P(Onda gorda|<Canal da Barra, Sudoeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00053/0,00153 = 0,34367";0.3436724478533232;0.3086819556519865;0.3188437464257045;0.028801850068985838;"8.3";"Nordeste";"Meio a um metro"
15;"Noroeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-11 08:00:00";"P(Fechando|<Canal da Barra, Nordeste, Vento Fresco, 8, Nordeste, Meio a um metro>) = 0,00019/0,00061 = 0,30814P(Cavado|<Canal da Barra, Nordeste, Vento Fresco, 8, Nordeste, Meio a um metro>) = 0,00001/0,00061 = 0,02216P(Alinhado|<Canal da Barra, Nordeste, Vento Fresco, 8, Nordeste, Meio a um metro>) = 0,00000/0,00061 = 0,00000P(Onda gorda|<Canal da Barra, Nordeste, Vento Fresco, 8, Nordeste, Meio a um metro>) = 0,00041/0,00061 = 0,66969";0.6696925819980805;0.022162846903795552;0.308144571098124;0.0;"8.9";"Nordeste";"Meio a um metro"
16;"Noroeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-11 09:00:00";"P(Fechando|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00007/0,00031 = 0,21250P(Cavado|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00002/0,00031 = 0,04961P(Alinhado|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00001/0,00031 = 0,01644P(Onda gorda|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00022/0,00031 = 0,72145";0.7214535990491974;0.04961211249810571;0.2124980789367241;0.016436209515972768;"8.9";"Nordeste";"Meio a um metro"
17;"Noroeste";"Canal da Barra";"Vento Moderado";"Fechando";"2020-03-11 11:00:00";"P(Fechando|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00007/0,00031 = 0,21250P(Cavado|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00002/0,00031 = 0,04961P(Alinhado|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00001/0,00031 = 0,01644P(Onda gorda|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00022/0,00031 = 0,72145";0.7214535990491974;0.04961211249810571;0.2124980789367241;0.016436209515972768;"8.9";"Nordeste";"Meio a um metro"
18;"Sul";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-11 13:00:00";"P(Fechando|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00007/0,00031 = 0,21250P(Cavado|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00002/0,00031 = 0,04961P(Alinhado|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00001/0,00031 = 0,01644P(Onda gorda|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00022/0,00031 = 0,72145";0.7214535990491974;0.04961211249810571;0.2124980789367241;0.016436209515972768;"8.9";"Nordeste";"Meio a um metro"
19;"Norte";"Canal da Barra";"Vento Muito Fresco";"Onda gorda";"2020-03-12 06:00:00";"P(Fechando|<Canal da Barra, Sul, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00008/0,00022 = 0,34223P(Cavado|<Canal da Barra, Sul, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00002/0,00022 = 0,10487P(Alinhado|<Canal da Barra, Sul, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00000/0,00022 = 0,00772P(Onda gorda|<Canal da Barra, Sul, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00012/0,00022 = 0,54518";0.5451753938015893;0.10487070491107327;0.34223322004768625;0.007720681239651205;"8.5";"Nordeste";"Meio a um metro"
20;"Noroeste";"Canal da Barra";"Vento Fresco";"Onda gorda";"2020-03-12 12:00:00";"P(Fechando|<Canal da Barra, Norte, Vento Muito Fresco, 9, Nordeste, Meio a um metro>) = 0,00003/0,00019 = 0,17358P(Cavado|<Canal da Barra, Norte, Vento Muito Fresco, 9, Nordeste, Meio a um metro>) = 0,00001/0,00019 = 0,05366P(Alinhado|<Canal da Barra, Norte, Vento Muito Fresco, 9, Nordeste, Meio a um metro>) = 0,00000/0,00019 = 0,01580P(Onda gorda|<Canal da Barra, Norte, Vento Muito Fresco, 9, Nordeste, Meio a um metro>) = 0,00015/0,00019 = 0,75696";0.7569570621025806;0.053658647357548946;0.1735826875145152;0.015801603025355236;"4.9";"Nordeste";"Meio a um metro"
21;"Leste";"Canal da Barra";"Vento Fresco";"Onda gorda";"2020-03-12 14:00:00";"P(Fechando|<Canal da Barra, Noroeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00007/0,00079 = 0,08891P(Cavado|<Canal da Barra, Noroeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00003/0,00079 = 0,03676P(Alinhado|<Canal da Barra, Noroeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00001/0,00079 = 0,01039P(Onda gorda|<Canal da Barra, Noroeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00068/0,00079 = 0,86393";0.8639348166748242;0.03676000010487951;0.0889129672555736;0.010392215964722775;"5.0";"Nordeste";"Meio a um metro"
22;"Norte";"Canal da Barra";"Vento Muito Fresco";"Onda gorda";"2020-03-13 07:00:00";"P(Fechando|<Canal da Barra, Leste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00001/0,00016 = 0,04055P(Cavado|<Canal da Barra, Leste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00000/0,00016 = 0,00000P(Alinhado|<Canal da Barra, Leste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00000/0,00016 = 0,00000P(Onda gorda|<Canal da Barra, Leste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00016/0,00016 = 0,95945";0.9594450345159306;0.0;0.04055496548406937;0.0;"7.6";"Nordeste";"Meio a um metro"
23;"Sudoeste";"Canal da Barra";"Vento Fresco";"Onda gorda";"2020-03-13 16:00:00";"P(Fechando|<Canal da Barra, Norte, Vento Muito Fresco, 8, Nordeste, Meio a um metro>) = 0,00022/0,00144 = 0,15197P(Cavado|<Canal da Barra, Norte, Vento Muito Fresco, 8, Nordeste, Meio a um metro>) = 0,00015/0,00144 = 0,10118P(Alinhado|<Canal da Barra, Norte, Vento Muito Fresco, 8, Nordeste, Meio a um metro>) = 0,00002/0,00144 = 0,01277P(Onda gorda|<Canal da Barra, Norte, Vento Muito Fresco, 8, Nordeste, Meio a um metro>) = 0,00106/0,00144 = 0,73408";0.7340773991892815;0.1011826077058783;0.15197000451872597;0.012769988586114266;"4.5";"Nordeste";"Meio a um metro"
24;"Norte";"Canal da Barra";"Vento Moderado";"Alinhado";"2020-03-14 06:00:00";"P(Fechando|<Canal da Barra, Sudoeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00007/0,00056 = 0,12999P(Cavado|<Canal da Barra, Sudoeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00006/0,00056 = 0,09747P(Alinhado|<Canal da Barra, Sudoeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00002/0,00056 = 0,03867P(Onda gorda|<Canal da Barra, Sudoeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00041/0,00056 = 0,73387";0.733868752118002;0.09746895834177927;0.12998873277354286;0.03867355676667593;"5.5";"Nordeste";"Flat"
25;"Noroeste";"Canal da Barra";"Vento Moderado";"Alinhado";"2020-03-14 08:00:00";"P(Fechando|<Canal da Barra, Norte, Vento Moderado, 6, Nordeste, Flat>) = 0,00003/0,00064 = 0,04818P(Cavado|<Canal da Barra, Norte, Vento Moderado, 6, Nordeste, Flat>) = 0,00001/0,00064 = 0,00855P(Alinhado|<Canal da Barra, Norte, Vento Moderado, 6, Nordeste, Flat>) = 0,00007/0,00064 = 0,11238P(Onda gorda|<Canal da Barra, Norte, Vento Moderado, 6, Nordeste, Flat>) = 0,00053/0,00064 = 0,83088";0.8308844867185942;0.008551650825148274;0.04818371042303198;0.11238015203322554;"5.5";"Nordeste";"Flat"
26;"Noroeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-14 10:00:00";"P(Fechando|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00005/0,00071 = 0,06984P(Cavado|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00001/0,00071 = 0,01279P(Alinhado|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00007/0,00071 = 0,10084P(Onda gorda|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00058/0,00071 = 0,81654";0.816535686818573;0.01278864959725375;0.06983966720701008;0.10083599637716309;"5.5";"Nordeste";"Flat"
27;"Noroeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-14 12:00:00";"P(Fechando|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00005/0,00071 = 0,06984P(Cavado|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00001/0,00071 = 0,01279P(Alinhado|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00007/0,00071 = 0,10084P(Onda gorda|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00058/0,00071 = 0,81654";0.816535686818573;0.01278864959725375;0.06983966720701008;0.10083599637716309;"5.5";"Nordeste";"Flat"
28;"Norte";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-14 15:00:00";"P(Fechando|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00005/0,00071 = 0,06984P(Cavado|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00001/0,00071 = 0,01279P(Alinhado|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00007/0,00071 = 0,10084P(Onda gorda|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00058/0,00071 = 0,81654";0.816535686818573;0.01278864959725375;0.06983966720701008;0.10083599637716309;"5.4";"Nordeste";"Flat"
29;"Noroeste";"Canal da Barra";"Vento Muito Fresco";"Onda gorda";"2020-03-15 10:00:00";"P(Fechando|<Canal da Barra, Norte, Vento Moderado, 5, Nordeste, Flat>) = 0,00001/0,00046 = 0,02000P(Cavado|<Canal da Barra, Norte, Vento Moderado, 5, Nordeste, Flat>) = 0,00000/0,00046 = 0,00887P(Alinhado|<Canal da Barra, Norte, Vento Moderado, 5, Nordeste, Flat>) = 0,00005/0,00046 = 0,10364P(Onda gorda|<Canal da Barra, Norte, Vento Moderado, 5, Nordeste, Flat>) = 0,00040/0,00046 = 0,86749";0.8674882860110769;0.008872582987145633;0.019996792577158706;0.10364233842461884;"5.1";"Nordeste";"Meio a um metro"
30;"Sudoeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-16 06:00:00";"P(Fechando|<Canal da Barra, Noroeste, Vento Muito Fresco, 5, Nordeste, Meio a um metro>) = 0,00008/0,00079 = 0,10339P(Cavado|<Canal da Barra, Noroeste, Vento Muito Fresco, 5, Nordeste, Meio a um metro>) = 0,00005/0,00079 = 0,06595P(Alinhado|<Canal da Barra, Noroeste, Vento Muito Fresco, 5, Nordeste, Meio a um metro>) = 0,00001/0,00079 = 0,01554P(Onda gorda|<Canal da Barra, Noroeste, Vento Muito Fresco, 5, Nordeste, Meio a um metro>) = 0,00064/0,00079 = 0,81513";0.8151305302161458;0.0659473132827768;0.10338582353108028;0.015536332969997181;"5.5";"Nordeste";"Flat"
31;"Sudoeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-16 10:00:00";"P(Fechando|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00005/0,00061 = 0,08474P(Cavado|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00002/0,00061 = 0,02814P(Alinhado|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00019/0,00061 = 0,31145P(Onda gorda|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00035/0,00061 = 0,57567";0.5756687109235581;0.028143333948334705;0.08474279860650749;0.3114451565215998;"5.5";"Nordeste";"Flat"
32;"Sudoeste";"Canal da Barra";"Vento Fraco";"Alinhado";"2020-03-16 11:00:00";"P(Fechando|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00005/0,00061 = 0,08474P(Cavado|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00002/0,00061 = 0,02814P(Alinhado|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00019/0,00061 = 0,31145P(Onda gorda|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00035/0,00061 = 0,57567";0.5756687109235581;0.028143333948334705;0.08474279860650749;0.3114451565215998;"5.5";"Nordeste";"Flat"
33;"Sudoeste";"Canal da Barra";"Aragem";"Onda gorda";"2020-03-16 13:00:00";"P(Fechando|<Canal da Barra, Sudoeste, Vento Fraco, 6, Nordeste, Flat>) = 0,00002/0,00037 = 0,04512P(Cavado|<Canal da Barra, Sudoeste, Vento Fraco, 6, Nordeste, Flat>) = 0,00001/0,00037 = 0,01447P(Alinhado|<Canal da Barra, Sudoeste, Vento Fraco, 6, Nordeste, Flat>) = 0,00023/0,00037 = 0,61505P(Onda gorda|<Canal da Barra, Sudoeste, Vento Fraco, 6, Nordeste, Flat>) = 0,00012/0,00037 = 0,32536";0.32535892274538797;0.014473445818252205;0.04511936142176717;0.6150482700145926;"5.5";"Nordeste";"Flat"
34;"Sul";"Canal da Barra";"Vento Fresco";"Onda gorda";"2020-03-17 06:00:00";"P(Fechando|<Canal da Barra, Sudoeste, Aragem, 6, Nordeste, Flat>) = 0,00001/0,00013 = 0,07953P(Cavado|<Canal da Barra, Sudoeste, Aragem, 6, Nordeste, Flat>) = 0,00000/0,00013 = 0,00802P(Alinhado|<Canal da Barra, Sudoeste, Aragem, 6, Nordeste, Flat>) = 0,00008/0,00013 = 0,56787P(Onda gorda|<Canal da Barra, Sudoeste, Aragem, 6, Nordeste, Flat>) = 0,00005/0,00013 = 0,34458";0.3445798126987258;0.008017973364524509;0.07952999829443996;0.5678722156423098;"5.6";"Nordeste";"Meio a um metro"
35;"Sul";"Canal da Barra";"Vento Fresco";"Onda gorda";"2020-03-17 08:00:00";"P(Fechando|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00027/0,00081 = 0,32845P(Cavado|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00006/0,00081 = 0,07129P(Alinhado|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00000/0,00081 = 0,00504P(Onda gorda|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00048/0,00081 = 0,59522";0.5952228287635973;0.07129114517982671;0.3284474448884082;0.00503858116816777;"5.7";"Nordeste";"Meio a um metro"
36;"Sudeste";"Canal da Barra";"Vento Fresco";"Onda gorda";"2020-03-17 12:00:00";"P(Fechando|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00027/0,00081 = 0,32845P(Cavado|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00006/0,00081 = 0,07129P(Alinhado|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00000/0,00081 = 0,00504P(Onda gorda|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00048/0,00081 = 0,59522";0.5952228287635973;0.07129114517982671;0.3284474448884082;0.00503858116816777;"5.8";"Nordeste";"Meio a um metro"
37;"Sudoeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-21 06:00:00";"P(Fechando|<Canal da Barra, Sudeste, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00003/0,00034 = 0,09897P(Cavado|<Canal da Barra, Sudeste, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00000/0,00034 = 0,01146P(Alinhado|<Canal da Barra, Sudeste, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00001/0,00034 = 0,03644P(Onda gorda|<Canal da Barra, Sudeste, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00029/0,00034 = 0,85314";0.8531377995112582;0.011456790725414463;0.09896794416644812;0.036437465596879264;"6.0";"Leste";"Flat"
38;"Sudoeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-21 10:00:00";"P(Fechando|<Canal da Barra, Sudoeste, Vento Moderado, 6, Leste, Flat>) = 0,00006/0,00037 = 0,15313P(Cavado|<Canal da Barra, Sudoeste, Vento Moderado, 6, Leste, Flat>) = 0,00002/0,00037 = 0,05399P(Alinhado|<Canal da Barra, Sudoeste, Vento Moderado, 6, Leste, Flat>) = 0,00010/0,00037 = 0,27973P(Onda gorda|<Canal da Barra, Sudoeste, Vento Moderado, 6, Leste, Flat>) = 0,00019/0,00037 = 0,51315";0.5131456459207371;0.053986085472654786;0.15313461188394076;0.27973365672266737;"4.7";"Sudeste";"Flat"
