"id";"wind_direction";"spot";"wind_speed";"fact_size";"date";"description";"flat_probability";"small_probability";"medium_probability";"big_probability";"biggest_probability";"period";"swell_direction";"swell_size"
11;"Noroeste";"Canal da Barra";"Aragem";"Meio a um metro";"2020-03-09 06:00:00";"P(Meio a um metro|<Canal da Barra, Nordeste, Vento Moderado, 8, Nordeste, Meio a um metro>) = 0,00057/0,00079 = 0,71967P(Flat|<Canal da Barra, Nordeste, Vento Moderado, 8, Nordeste, Meio a um metro>) = 0,00016/0,00079 = 0,20895P(Um a um metro e meio|<Canal da Barra, Nordeste, Vento Moderado, 8, Nordeste, Meio a um metro>) = 0,00006/0,00079 = 0,07138";0.20895359020076734;0.7196673815463264;0.0713790282529063;0.0;0.0;"8.2";"Leste";"Meio a um metro"
12;"Norte";"Canal da Barra";"Vento Fraco";"Flat";"2020-03-09 08:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00021/0,00025 = 0,85378P(Flat|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00002/0,00025 = 0,09622P(Um a um metro e meio|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00025 = 0,05000";0.09621837642933004;0.8537766780225572;0.050004945548112835;0.0;0.0;"8.3";"Leste";"Meio a um metro"
13;"Sudoeste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-09 10:00:00";"P(Meio a um metro|<Canal da Barra, Norte, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00031/0,00045 = 0,69936P(Flat|<Canal da Barra, Norte, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00007/0,00045 = 0,14634P(Um a um metro e meio|<Canal da Barra, Norte, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00007/0,00045 = 0,15430";0.14634283006637855;0.6993564022079837;0.1543007677256379;0.0;0.0;"8.3";"Leste";"Meio a um metro"
14;"Nordeste";"Canal da Barra";"Vento Fresco";"Flat";"2020-03-09 14:00:00";"P(Meio a um metro|<Canal da Barra, Sudoeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00097/0,00130 = 0,74496P(Flat|<Canal da Barra, Sudoeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00030/0,00130 = 0,22637P(Um a um metro e meio|<Canal da Barra, Sudoeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00004/0,00130 = 0,02868";0.2263654020549087;0.7449591897923019;0.02867540815278937;0.0;0.0;"8.3";"Nordeste";"Meio a um metro"
15;"Noroeste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-11 08:00:00";"P(Meio a um metro|<Canal da Barra, Nordeste, Vento Fresco, 8, Nordeste, Meio a um metro>) = 0,00040/0,00058 = 0,69594P(Flat|<Canal da Barra, Nordeste, Vento Fresco, 8, Nordeste, Meio a um metro>) = 0,00011/0,00058 = 0,19316P(Um a um metro e meio|<Canal da Barra, Nordeste, Vento Fresco, 8, Nordeste, Meio a um metro>) = 0,00006/0,00058 = 0,11090";0.19316181182603637;0.6959398346533583;0.11089835352060541;0.0;0.0;"8.9";"Nordeste";"Meio a um metro"
16;"Noroeste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-11 09:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00017/0,00030 = 0,57397P(Flat|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00013/0,00030 = 0,42603P(Um a um metro e meio|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00000/0,00030 = 0,00000";0.42602624910886705;0.5739737508911329;0.0;0.0;0.0;"8.9";"Nordeste";"Meio a um metro"
17;"Noroeste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-11 11:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00017/0,00030 = 0,57397P(Flat|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00013/0,00030 = 0,42603P(Um a um metro e meio|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00000/0,00030 = 0,00000";0.42602624910886705;0.5739737508911329;0.0;0.0;0.0;"8.9";"Nordeste";"Meio a um metro"
18;"Sul";"Canal da Barra";"Vento Moderado";"Flat";"2020-03-11 13:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00017/0,00030 = 0,57397P(Flat|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00013/0,00030 = 0,42603P(Um a um metro e meio|<Canal da Barra, Noroeste, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00000/0,00030 = 0,00000";0.42602624910886705;0.5739737508911329;0.0;0.0;0.0;"8.9";"Nordeste";"Meio a um metro"
19;"Norte";"Canal da Barra";"Vento Muito Fresco";"Flat";"2020-03-12 06:00:00";"P(Meio a um metro|<Canal da Barra, Sul, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00010/0,00028 = 0,35154P(Flat|<Canal da Barra, Sul, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00018/0,00028 = 0,64846P(Um a um metro e meio|<Canal da Barra, Sul, Vento Moderado, 9, Nordeste, Meio a um metro>) = 0,00000/0,00028 = 0,00000";0.648459196433962;0.351540803566038;0.0;0.0;0.0;"8.5";"Nordeste";"Meio a um metro"
20;"Noroeste";"Canal da Barra";"Vento Fresco";"Flat";"2020-03-12 12:00:00";"P(Meio a um metro|<Canal da Barra, Norte, Vento Muito Fresco, 9, Nordeste, Meio a um metro>) = 0,00011/0,00016 = 0,66170P(Flat|<Canal da Barra, Norte, Vento Muito Fresco, 9, Nordeste, Meio a um metro>) = 0,00005/0,00016 = 0,33830P(Um a um metro e meio|<Canal da Barra, Norte, Vento Muito Fresco, 9, Nordeste, Meio a um metro>) = 0,00000/0,00016 = 0,00000";0.33830249088520764;0.6616975091147924;0.0;0.0;0.0;"4.9";"Nordeste";"Meio a um metro"
21;"Leste";"Canal da Barra";"Vento Fresco";"Flat";"2020-03-12 14:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00039/0,00070 = 0,55023P(Flat|<Canal da Barra, Noroeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00026/0,00070 = 0,37480P(Um a um metro e meio|<Canal da Barra, Noroeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00005/0,00070 = 0,07497";0.3747951774928823;0.5502333098177152;0.07497151268940241;0.0;0.0;"5.0";"Nordeste";"Meio a um metro"
22;"Norte";"Canal da Barra";"Vento Muito Fresco";"Meio a um metro";"2020-03-13 07:00:00";"P(Meio a um metro|<Canal da Barra, Leste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00005/0,00014 = 0,35287P(Flat|<Canal da Barra, Leste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00009/0,00014 = 0,64713P(Um a um metro e meio|<Canal da Barra, Leste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00000/0,00014 = 0,00000";0.6471273773538812;0.35287262264611896;0.0;0.0;0.0;"7.6";"Nordeste";"Meio a um metro"
23;"Sudoeste";"Canal da Barra";"Vento Fresco";"Flat";"2020-03-13 16:00:00";"P(Meio a um metro|<Canal da Barra, Norte, Vento Muito Fresco, 8, Nordeste, Meio a um metro>) = 0,00105/0,00187 = 0,55868P(Flat|<Canal da Barra, Norte, Vento Muito Fresco, 8, Nordeste, Meio a um metro>) = 0,00015/0,00187 = 0,07954P(Um a um metro e meio|<Canal da Barra, Norte, Vento Muito Fresco, 8, Nordeste, Meio a um metro>) = 0,00068/0,00187 = 0,36177";0.07954372529604344;0.558681951355275;0.3617743233486816;0.0;0.0;"4.5";"Nordeste";"Meio a um metro"
24;"Norte";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-14 06:00:00";"P(Meio a um metro|<Canal da Barra, Sudoeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00031/0,00066 = 0,47149P(Flat|<Canal da Barra, Sudoeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00033/0,00066 = 0,49409P(Um a um metro e meio|<Canal da Barra, Sudoeste, Vento Fresco, 5, Nordeste, Meio a um metro>) = 0,00002/0,00066 = 0,03442";0.49409228764651864;0.471491986086197;0.034415726267284306;0.0;0.0;"5.5";"Nordeste";"Flat"
25;"Noroeste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-14 08:00:00";"P(Meio a um metro|<Canal da Barra, Norte, Vento Moderado, 6, Nordeste, Flat>) = 0,00025/0,00043 = 0,56914P(Flat|<Canal da Barra, Norte, Vento Moderado, 6, Nordeste, Flat>) = 0,00017/0,00043 = 0,39910P(Um a um metro e meio|<Canal da Barra, Norte, Vento Moderado, 6, Nordeste, Flat>) = 0,00001/0,00043 = 0,03176";0.399100189366822;0.5691364392898266;0.0317633713433513;0.0;0.0;"5.5";"Nordeste";"Flat"
26;"Noroeste";"Canal da Barra";"Vento Moderado";"Flat";"2020-03-14 10:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00031/0,00058 = 0,53583P(Flat|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00026/0,00058 = 0,45152P(Um a um metro e meio|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00001/0,00058 = 0,01265";0.4515217833678499;0.5358263785089546;0.012651838123195326;0.0;0.0;"5.5";"Nordeste";"Flat"
27;"Noroeste";"Canal da Barra";"Vento Moderado";"Flat";"2020-03-14 12:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00031/0,00058 = 0,53583P(Flat|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00026/0,00058 = 0,45152P(Um a um metro e meio|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00001/0,00058 = 0,01265";0.4515217833678499;0.5358263785089546;0.012651838123195326;0.0;0.0;"5.5";"Nordeste";"Flat"
28;"Norte";"Canal da Barra";"Vento Moderado";"Flat";"2020-03-14 15:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00031/0,00058 = 0,53583P(Flat|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00026/0,00058 = 0,45152P(Um a um metro e meio|<Canal da Barra, Noroeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00001/0,00058 = 0,01265";0.4515217833678499;0.5358263785089546;0.012651838123195326;0.0;0.0;"5.4";"Nordeste";"Flat"
29;"Noroeste";"Canal da Barra";"Vento Muito Fresco";"Meio a um metro";"2020-03-15 10:00:00";"P(Meio a um metro|<Canal da Barra, Norte, Vento Moderado, 5, Nordeste, Flat>) = 0,00011/0,00036 = 0,29749P(Flat|<Canal da Barra, Norte, Vento Moderado, 5, Nordeste, Flat>) = 0,00024/0,00036 = 0,68325P(Um a um metro e meio|<Canal da Barra, Norte, Vento Moderado, 5, Nordeste, Flat>) = 0,00001/0,00036 = 0,01926";0.6832547509666079;0.2974861927529705;0.019259056280421676;0.0;0.0;"5.1";"Nordeste";"Meio a um metro"
30;"Sudoeste";"Canal da Barra";"Vento Moderado";"Flat";"2020-03-16 06:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Vento Muito Fresco, 5, Nordeste, Meio a um metro>) = 0,00042/0,00076 = 0,55757P(Flat|<Canal da Barra, Noroeste, Vento Muito Fresco, 5, Nordeste, Meio a um metro>) = 0,00025/0,00076 = 0,32885P(Um a um metro e meio|<Canal da Barra, Noroeste, Vento Muito Fresco, 5, Nordeste, Meio a um metro>) = 0,00009/0,00076 = 0,11358";0.3288548620339206;0.5575685413488107;0.1135765966172686;0.0;0.0;"5.5";"Nordeste";"Flat"
31;"Sudoeste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-16 10:00:00";"P(Meio a um metro|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00025/0,00058 = 0,43308P(Flat|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00032/0,00058 = 0,56144P(Um a um metro e meio|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00000/0,00058 = 0,00548";0.5614444834048754;0.43307743719758673;0.00547807939753786;0.0;0.0;"5.5";"Nordeste";"Flat"
32;"Sudoeste";"Canal da Barra";"Vento Fraco";"Meio a um metro";"2020-03-16 11:00:00";"P(Meio a um metro|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00025/0,00058 = 0,43308P(Flat|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00032/0,00058 = 0,56144P(Um a um metro e meio|<Canal da Barra, Sudoeste, Vento Moderado, 6, Nordeste, Flat>) = 0,00000/0,00058 = 0,00548";0.5614444834048754;0.43307743719758673;0.00547807939753786;0.0;0.0;"5.5";"Nordeste";"Flat"
33;"Sudoeste";"Canal da Barra";"Aragem";"Flat";"2020-03-16 13:00:00";"P(Meio a um metro|<Canal da Barra, Sudoeste, Vento Fraco, 6, Nordeste, Flat>) = 0,00008/0,00022 = 0,37496P(Flat|<Canal da Barra, Sudoeste, Vento Fraco, 6, Nordeste, Flat>) = 0,00014/0,00022 = 0,61887P(Um a um metro e meio|<Canal da Barra, Sudoeste, Vento Fraco, 6, Nordeste, Flat>) = 0,00000/0,00022 = 0,00616";0.6188740202504873;0.37496432046795575;0.006161659281557019;0.0;0.0;"5.5";"Nordeste";"Flat"
34;"Sul";"Canal da Barra";"Vento Fresco";"Flat";"2020-03-17 06:00:00";"P(Meio a um metro|<Canal da Barra, Sudoeste, Aragem, 6, Nordeste, Flat>) = 0,00004/0,00008 = 0,57142P(Flat|<Canal da Barra, Sudoeste, Aragem, 6, Nordeste, Flat>) = 0,00003/0,00008 = 0,42269P(Um a um metro e meio|<Canal da Barra, Sudoeste, Aragem, 6, Nordeste, Flat>) = 0,00000/0,00008 = 0,00589";0.4226878841217738;0.5714203800889536;0.005891735789272703;0.0;0.0;"5.6";"Nordeste";"Meio a um metro"
35;"Sul";"Canal da Barra";"Vento Fresco";"Meio a um metro";"2020-03-17 08:00:00";"P(Meio a um metro|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00050/0,00079 = 0,63408P(Flat|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00026/0,00079 = 0,32772P(Um a um metro e meio|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00003/0,00079 = 0,03819";0.3277220583207032;0.6340832444083814;0.038194697270915276;0.0;0.0;"5.7";"Nordeste";"Meio a um metro"
36;"Sudeste";"Canal da Barra";"Vento Fresco";"Flat";"2020-03-17 12:00:00";"P(Meio a um metro|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00050/0,00079 = 0,63408P(Flat|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00026/0,00079 = 0,32772P(Um a um metro e meio|<Canal da Barra, Sul, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00003/0,00079 = 0,03819";0.3277220583207032;0.6340832444083814;0.038194697270915276;0.0;0.0;"5.8";"Nordeste";"Meio a um metro"
37;"Sudoeste";"Canal da Barra";"Vento Moderado";"Flat";"2020-03-21 06:00:00";"P(Meio a um metro|<Canal da Barra, Sudeste, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00026/0,00032 = 0,79875P(Flat|<Canal da Barra, Sudeste, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00006/0,00032 = 0,20125P(Um a um metro e meio|<Canal da Barra, Sudeste, Vento Fresco, 6, Nordeste, Meio a um metro>) = 0,00000/0,00032 = 0,00000";0.20125333083844546;0.7987466691615546;0.0;0.0;0.0;"6.0";"Leste";"Flat"
38;"Sudoeste";"Canal da Barra";"Vento Moderado";"Flat";"2020-03-21 10:00:00";"P(Meio a um metro|<Canal da Barra, Sudoeste, Vento Moderado, 6, Leste, Flat>) = 0,00018/0,00040 = 0,44509P(Flat|<Canal da Barra, Sudoeste, Vento Moderado, 6, Leste, Flat>) = 0,00022/0,00040 = 0,55136P(Um a um metro e meio|<Canal da Barra, Sudoeste, Vento Moderado, 6, Leste, Flat>) = 0,00000/0,00040 = 0,00355";0.5513646115469935;0.44508875235641593;0.0035466360965907234;0.0;0.0;"4.7";"Sudeste";"Flat"
39;"Leste";"Canal da Barra";"Calmaria";"Meio a um metro";"2020-03-22 07:00:00";"P(Meio a um metro|<Canal da Barra, Sudoeste, Vento Moderado, 5, Sudeste, Flat>) = 0,00000/0,00003 = 0,00000P(Flat|<Canal da Barra, Sudoeste, Vento Moderado, 5, Sudeste, Flat>) = 0,00003/0,00003 = 1,00000P(Um a um metro e meio|<Canal da Barra, Sudoeste, Vento Moderado, 5, Sudeste, Flat>) = 0,00000/0,00003 = 0,00000";1.0;0.0;0.0;0.0;0.0;"6.5";"Nordeste";"Flat"
40;"Sudeste";"Canal da Barra";"Bafagem";"Flat";"2020-03-22 08:00:00";"P(Meio a um metro|<Canal da Barra, Leste, Calmaria, 7, Nordeste, Flat>) = 0,00000/0,00001 = 0,05290P(Flat|<Canal da Barra, Leste, Calmaria, 7, Nordeste, Flat>) = 0,00001/0,00001 = 0,94710P(Um a um metro e meio|<Canal da Barra, Leste, Calmaria, 7, Nordeste, Flat>) = 0,00000/0,00001 = 0,00000";0.9471009566886763;0.05289904331132364;0.0;0.0;0.0;"6.6";"Nordeste";"Flat"
41;"Leste";"Canal da Barra";"Bafagem";"Flat";"2020-03-22 11:00:00";"P(Meio a um metro|<Canal da Barra, Sudeste, Bafagem, 7, Nordeste, Flat>) = 0,00000/0,00001 = 0,27133P(Flat|<Canal da Barra, Sudeste, Bafagem, 7, Nordeste, Flat>) = 0,00001/0,00001 = 0,72867P(Um a um metro e meio|<Canal da Barra, Sudeste, Bafagem, 7, Nordeste, Flat>) = 0,00000/0,00001 = 0,00000";0.7286730236173022;0.27132697638269765;0.0;0.0;0.0;"6.5";"Nordeste";"Flat"
42;"Nordeste";"Canal da Barra";"Vento Fraco";"Flat";"2020-03-23 06:00:00";"P(Meio a um metro|<Canal da Barra, Leste, Bafagem, 7, Nordeste, Flat>) = 0,00000/0,00001 = 0,14351P(Flat|<Canal da Barra, Leste, Bafagem, 7, Nordeste, Flat>) = 0,00001/0,00001 = 0,85649P(Um a um metro e meio|<Canal da Barra, Leste, Bafagem, 7, Nordeste, Flat>) = 0,00000/0,00001 = 0,00000";0.8564863406314374;0.1435136593685626;0.0;0.0;0.0;"3.6";"Nordeste";"Flat"
43;"Nordeste";"Canal da Barra";"Vento Moderado";"Flat";"2020-03-24 06:00:00";"P(Meio a um metro|<Canal da Barra, Nordeste, Vento Fraco, 4, Nordeste, Flat>) = 0,00000/0,00001 = 0,16283P(Flat|<Canal da Barra, Nordeste, Vento Fraco, 4, Nordeste, Flat>) = 0,00001/0,00001 = 0,83717P(Um a um metro e meio|<Canal da Barra, Nordeste, Vento Fraco, 4, Nordeste, Flat>) = 0,00000/0,00001 = 0,00000";0.8371711312053032;0.16282886879469685;0.0;0.0;0.0;"4.2";"Nordeste";"Flat"
44;"Leste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-24 10:00:00";"P(Meio a um metro|<Canal da Barra, Nordeste, Vento Moderado, 4, Nordeste, Flat>) = 0,00001/0,00003 = 0,19847P(Flat|<Canal da Barra, Nordeste, Vento Moderado, 4, Nordeste, Flat>) = 0,00002/0,00003 = 0,80153P(Um a um metro e meio|<Canal da Barra, Nordeste, Vento Moderado, 4, Nordeste, Flat>) = 0,00000/0,00003 = 0,00000";0.801525193978857;0.19847480602114298;0.0;0.0;0.0;"4.4";"Nordeste";"Meio a um metro"
45;"Leste";"Canal da Barra";"Vento Moderado";"Flat";"2020-03-24 12:00:00";"P(Meio a um metro|<Canal da Barra, Leste, Vento Moderado, 4, Nordeste, Meio a um metro>) = 0,00001/0,00003 = 0,33352P(Flat|<Canal da Barra, Leste, Vento Moderado, 4, Nordeste, Meio a um metro>) = 0,00002/0,00003 = 0,66648P(Um a um metro e meio|<Canal da Barra, Leste, Vento Moderado, 4, Nordeste, Meio a um metro>) = 0,00000/0,00003 = 0,00000";0.6664819344966701;0.3335180655033298;0.0;0.0;0.0;"4.5";"Nordeste";"Meio a um metro"
46;"Nordeste";"Canal da Barra";"Vento Fresco";"Flat";"2020-03-25 06:00:00";"P(Meio a um metro|<Canal da Barra, Leste, Vento Moderado, 5, Nordeste, Meio a um metro>) = 0,00007/0,00020 = 0,34265P(Flat|<Canal da Barra, Leste, Vento Moderado, 5, Nordeste, Meio a um metro>) = 0,00013/0,00020 = 0,65735P(Um a um metro e meio|<Canal da Barra, Leste, Vento Moderado, 5, Nordeste, Meio a um metro>) = 0,00000/0,00020 = 0,00000";0.6573470545796816;0.34265294542031843;0.0;0.0;0.0;"4.5";"Nordeste";"Meio a um metro"
